ID,Created,"UK or India
","Agent Tenure
","Interaction Date
","Interaction duration
","Interaction Type
","Interaction Reason
","DF Arrears (Months):
","Were there any vulnerability markers on the customers account?
","Q1-Did the advisor process Personal Data in accordance with the Data protection Act?
","Q1 - Failure Reasons
","Q2 - Did the advisor confirm the customer's or authorised 3rd party's contact telephone number, email, and up to date home address and update date the system accordingly if required? 
","Q2 - Failure Reasons
","Q3 - Did the advisor understand the customer's past financial situation including the reason they have failed or may fail to pay Three?
","Q3 - Failure Reasons
","Q4 -  Did the advisor understand the customer's present financial situation?
","Q4 - Failure Reasons
","Q5 - Did the advisor understand the customer's future financial situation?
","Q5 - Failure Reasons
","Q6 - Did the advisor correctly identify & explore new vulnerability needs?
","Q6 - Failure Reasons
","Q7 - Did the advisor correctly acknowledge & explore existing vulnerability needs?
","Q7 - Failure Reasons
","Q8 - Where applicable did the advisor address any new accessibility needs during their interaction?
","Q8 - Failure Reasons
","Q9 - Where applicable did the advisor address any existing accessibility needs during their interaction?
","Q9 - Failure Reasons
","Q10 - Did the advisor gain full explicit consent to note the customer's new vulnerability and/or accessibility need?
","Q10 - Failure Reasons
","Q11 - Did the advisor update the system to accurately reflect the customer's vulnerability and/or accessibility needs?
","Q11 - Failure Reasons
","Q12 - Did the advisor establish a suitable solution that supported the customer's needs taking into account their information from the conversation ?
","Q12 - Failure Reasons
","Q13 - Did the advisor read any mandatory statements/tell them in a manner that was easy for the customer to understand? 
","Q13 - Failure Reasons
","Q14 - Did we clearly advise the customer of any next steps required by them and did they explain potential consequeses for adherance/non adherance to any outcome?
","Q14 - Failure Reasons
","Q15 - Was the Income and Expenditure Tool completed correctly?
","Q15 - Failure Reasons
","Q16 - Has the advisor taken the correct system action
","Q16 - Failure Reasons
","Q17 - System updates - When payment has been taken on call/chat
","Q17 - Failure Reasons
","Q18 - Did the advisor leave adequate notes regarding the interaction?
","Q18 - Failure Reasons
","Q19-If an expression of dissatisfaction was evident, was it addressed by the agent , and correct process followed
","Q19 - Failure Reasons
","Q20-Was any new suspicious activity evident during the call/ interactions you’re scoring (i.e. not instances already identified/ flagged that pre-date the call/ interactions you’re scoring)? (non-scoring)
","Q20.1-If yes: did the advisor correctly identify the activity as suspicious?
","Q21-If applicable, did the advisor then follow the relevant process correctly and avoid “tipping off” the customer?
","Q22 - During the interaction did the advisor act within our expected conduct realms:
","Q22 - Failure Reasons
","1st Line QA Outcome
","Q23-CD Focus: Did the advisor and/or Three deal with the customer in an honest, fair, and open manner and by acting how our customers would reasonably expect us to?
","Q23-Fail Reasons
","Q24-CD Focus: Did the advisor and/or Three take all reasonable steps to prevent foreseeable or actual customer harm?
","Q24 - Failure Reasons
","Q25-CD Focus: Did the advisor and/or Three provide adequate levels of support, enabling customers to make timely and informed decisions in their best interests?
","Q25 - Failure Reasons
","Is remediation Required?
"
249,2025-01-02T14:37:50Z,India,0-3 months (bau),2025-01-02,12:41,Inbound,"[""Customer wants to set a PTP""]","[""November"",""December""]",,Pass,,Pass,,Fail - Regulatory/Customer Impacting,"[""The root cause not fully established""]",Fail - Regulatory/Customer Impacting,"[""Advisor failed to attempt to obtain - Source/Frequency of income""]",Fail - Regulatory/Customer Impacting,"[""Potential impact was not established""]",,,Pass,,N/A,,Pass,,,,N/A,,N/A,,Feedback/Coaching Needed,"[""Information unclear - Pace, Clarity, interuptions etc""]",Fail - Regulatory/Customer Impacting,"[""DD options""]",,,Pass,,N/A,,Feedback/Coaching Needed,"[""Notes Inacurate""]",N/A,,N/A,,,N/A,,Poor Outcome - Advisor,,,,,,,No
250,2025-01-02T16:36:31Z,India,Nesting,2025-01-02,8:15,Inbound,"[""Customer is calling to make a payment""]","[""March""]",,Pass,,Pass,,Pass,,Pass,,Pass,,,,N/A,,N/A,,N/A,,,,N/A,,N/A,,N/A,,Pass,,,,N/A,,Pass,,Pass,,N/A,,N/A,,,N/A,,Good Outcome,,,,,,,No
251,2025-01-03T18:19:02Z,India,Over 3 (BAU),2025-01-03,02:24,Inbound,"[""Customer is calling regarding correspondence they have received (e.g, received NOD)""]","[""August"",""September"",""October"",""November"",""December""]",,Pass,,Pass,,Fail - Regulatory/Customer Impacting,"[""Missed information in the account history that would have helped to understand the situation"",""No discussion about continuous impact""]",Pass,,Feedback/Coaching Needed,"[""Long Term not established""]",,,Pass,,Pass,,Pass,,,,Pass,,Pass,,Pass,,Pass,,,,Pass,,N/A,,Pass,,Pass,,N/A,,,Pass,,Good Outcome with Failures,,,,,,,No
252,2025-01-04T12:24:33Z,India,Over 3 (BAU),2025-01-03,13:38,Inbound,"[""Customer is calling to make a payment""]","[""N/A""]",,Pass,,Feedback/Coaching Needed,"[""Did not confirm Telephone number""]",Pass,,Pass,,Fail - Regulatory/Customer Impacting,"[""Long Term not established""]",,,N/A,,N/A,,N/A,,,,N/A,,N/A,,Pass,,Pass,,,,Pass,,Pass,,Pass,,N/A,,N/A,,,N/A,,Good Outcome with Failures,,,,,,,No
253,2025-01-05T11:52:40Z,India,Over 3 (BAU),2025-01-04,"17""31",Inbound,"[""Customer wants to set a PTP""]","[""November"",""December""]",,Pass,,Pass,,Pass,,Pass,,Pass,,,,Pass,,N/A,,Pass,,,,N/A,,N/A,,Pass,,Pass,,,,Pass,,N/A,,Pass,,Feedback/Coaching Needed,"[""Data - Incorrectly identified a complaint""]",N/A,,,N/A,,Good Outcome,,,,,,,No
254,2025-01-05T14:08:11Z,India,Over 3 (BAU),2025-01-04,13:30,Inbound,"[""Customer is calling to make a payment""]","[""January""]",,Pass,,Pass,,Pass,,Pass,,Pass,,,,N/A,,N/A,,N/A,,,,N/A,,N/A,,Pass,,Pass,,,,Pass,,Pass,,Pass,,N/A,,N/A,,,N/A,,Good Outcome,,,,,,,No
255,2025-01-06T11:25:09Z,India,Gradbay,2025-01-04,33:58,Inbound,"[""Customer wants to set a PTP""]","[""December""]",,Pass,,Pass,,Fail - Regulatory/Customer Impacting,"[""Short Term not established"",""The root cause not fully established"",""Missed information in the account history that would have helped to understand the situation"",""Medium Term not established""]",Fail - Regulatory/Customer Impacting,"[""Advisor failed to attempt to obtain - whether this is long term"",""Advisor failed to attempt to obtain - Customer Priority bills status"",""Advisor failed to attempt to obtain - whether this is short term""]",Fail - Regulatory/Customer Impacting,"[""Short Term not established""]",,,N/A,,N/A,,N/A,,,,N/A,,Pass,,Pass,,Fail - Regulatory/Customer Impacting,"[""DD options""]",,,Pass,,N/A,,Pass,,N/A,,N/A,,,Pass,,Poor Outcome - Advisor,,,,,,,No
256,2025-01-06T12:16:57Z,India,Gradbay,2025-01-04,28.39,Inbound,"[""Customer wants to set a PTP""]","[""December""]",,Pass,,Pass,,Pass,,Pass,,Pass,,,,N/A,,N/A,,N/A,,,,N/A,,Pass,,Pass,,Fail - Regulatory/Customer Impacting,"[""DD options"",""General - Next steps not confirmed""]",,,Fail - Regulatory/Customer Impacting,"[""DD Not surpressed""]",N/A,,Pass,,N/A,,N/A,,,Pass,,Poor Outcome - Advisor,,,,,,,No
257,2025-01-06T13:56:32Z,India,Gradbay,2025-01-04,32:25,Inbound,"[""Customer wants to set a PTP""]","[""July"",""August"",""September"",""October""]",,Pass,,Pass,,Fail - Regulatory/Customer Impacting,"[""No discussion about continuous impact""]",Fail - Regulatory/Customer Impacting,"[""Advisor failed to attempt to obtain - If customer refused I&E, did the agent still attempt to understand the customer's financial situation""]",Pass,,,,Fail - Regulatory/Customer Impacting,"[""Vulnerability not identified"",""No support provided""]",N/A,,N/A,,,,N/A,,Fail - Regulatory/Customer Impacting,"[""PA -  Failed to consider previous failed PA"",""PA - Advisor failed to offer an appropriate PA"",""Solution offered did not include all suitable instalment options""]",Fail - Regulatory/Customer Impacting,"[""Mandatory info not read""]",Fail - Regulatory/Customer Impacting,"[""General - Next steps not confirmed""]",,,Pass,,N/A,,Pass,,N/A,,N/A,,,Pass,,Poor Outcome - Advisor,,,,,,,No
258,2025-01-07T11:03:55Z,India,Gradbay,2025-01-06,45:28,Inbound,"[""Customer wants to set a PTP""]","[""October"",""November"",""December""]",,Pass,,Pass,,Pass,,Pass,,Pass,,,,N/A,,N/A,,N/A,,,,N/A,,Pass,,Fail - Regulatory/Customer Impacting,"[""Mandatory info not read""]",Fail - Regulatory/Customer Impacting,"[""Incorrect information provided""]",,,Fail - Regulatory/Customer Impacting,"[""PA set incorrectly""]",N/A,,Pass,,N/A,,N/A,,,Pass,,Poor Outcome - Advisor,,,,,,,No
